id,name_romaji,name_native,current_rank_dan,status
person:a-scott-dejesse,"A. Scott DeJesse",,,provisional
person:aaron-boehmer,"Aaron Boehmer",,,provisional
person:abdulrazzaq-alissa,"Abdulrazzaq Alissa",,,provisional
person:acxel-saravia,"Acxel Saravia",,,provisional
person:akira-tohei,"Akira Tohei","藤平 明",,provisional
person:alan-fishbone,"Alan Fishbone",,,provisional
person:alan-gay,"Alan Gay",,,provisional
person:alan-james-gay,"Alan James Gay",,,provisional
person:alberto-alonso-conchina,"Alberto Alonso Conchina",,,provisional
person:alberto-rodriguez-carvajal,"Alberto Rodríguez Carvajal",,,provisional
person:alejandro-marduck-aguilar,"Alejandro Marduck Aguilar",,,provisional
person:alejandro-rojas-mora,"Alejandro Rojas Mora",,,provisional
person:alex-korn,"Alex Korn",,,provisional
person:alexander-angustain,"Alexander Angustain",,,provisional
person:alexis-botiel-fernandez,"Alexis Botiel Fernandez",,,provisional
person:ali-farhat-monasterios,"Ali Farhat Monasterios",,,provisional
person:alicia-c-hardesty-cordero,"Alicia C. Hardesty-Cordero",,,provisional
person:alicia-cordero-hardesty,"Alicia Cordero-Hardesty",,,provisional
person:alix-adriana-llanes-arenas,"Alix Adriana Llanes Arenas",,,provisional
person:allen-kline,"Allen Kline",,,provisional
person:ando,Ando,,,provisional
person:andrea-moss,"Andrea Moss",,,provisional
person:andrew-benioff,"Andrew Benioff",,,provisional
person:andrew-demko,"Andrew Demko",,,provisional
person:andrew-l-demko,"Andrew L. Demko",,,provisional
person:andrew-lee,"Andrew Lee",,,provisional
person:andrew-obeidy,"Andrew Obeidy",,,provisional
person:andrew-p-demko,"Andrew P. Demko",,,provisional
person:andrew-small,"Andrew Small",,,provisional
person:aneida-gonzalez,"Aneida González",,,provisional
person:angel-augusto-gonzalez-linares,"Angel Augusto González Linares",,,provisional
person:angela-murphy,"Angela Murphy",,,provisional
person:angela-w-murphy,"Angela W. Murphy",,,provisional
person:annette-schediwy-mackrel,"Annette Schediwy Mackrel",,,provisional
person:anthea-p-pascaris,"Anthea P. Pascaris",,,provisional
person:anthea-pascaris,"Anthea Pascaris",,,provisional
person:anthony-chong,"Anthony Chong",,,provisional
person:anthony-fiore,"Anthony Fiore",,,provisional
person:art-wise,"Art Wise",,,provisional
person:arturo-a-peal,"Arturo A. Peal",,,provisional
person:arturo-fisher,"Arturo Fisher",,,provisional
person:arturo-peal,"Arturo Peal",,,provisional
person:ashley-coles,"Ashley Coles",,,provisional
person:bansen-tanaka,"Bansen Tanaka",,,provisional
person:barry-richardson,"Barry Richardson",,,provisional
person:baruc-hunck,"Baruc Hunck",,,provisional
person:beniamin-vardanyan,"Beniamin Vardanyan",,,provisional
person:bernard-calma,"Bernard Calma",,,provisional
person:bernard-j-mulligan,"Bernard J. Mulligan",,,provisional
person:bill-peterson,"Bill Peterson",,,provisional
person:blue-spruell,"Blue Spruell",,,provisional
person:bob-hart-brenda-tam,"Bob Hart & Brenda Tam",,,provisional
person:bob-reister,"Bob Reister",,,provisional
person:brad-welker,"Brad Welker",,,provisional
person:brandon-nimz,"Brandon Nimz",,,provisional
person:brenda-tam-louis-sloss,"Brenda Tam & Louis Sloss",,,provisional
person:brian-curtis,"Brian Curtis",,,provisional
person:brian-dupont,"Brian Dupont",,,provisional
person:brian-ericksen,"Brian Ericksen",,,provisional
person:brian-mizerak,"Brian Mizerak",,,provisional
person:brian-sykes,"Brian Sykes",,,provisional
person:bruce-bookman,"Bruce Bookman",,,provisional
person:bryan-coffie,"Bryan Coffie",,,provisional
person:calvin-blanchard,"Calvin Blanchard",,,provisional
person:calvin-e-blanchard,"Calvin E. Blanchard",,,provisional
person:calvin-tabata,"Calvin Tabata",,,provisional
person:carlos-alberto-jara,"Carlos Alberto Jara",,,provisional
person:carmine-franzese,"Carmine Franzese",,,provisional
person:carola-robles,"Carola Robles",,,provisional
person:caroline-murtha,"Caroline Murtha",,,provisional
person:cathy-darnell,"Cathy Darnell",,,provisional
person:charlene-m-reiss,"Charlene M. Reiss",,,provisional
person:charles-boyer,"Charles Boyer",,,provisional
person:charles-dubois,"Charles Dubois",,,provisional
person:charles-e-cunningham,"Charles E. Cunningham",,,provisional
person:charles-t-mcginnis,"Charles T. McGinnis",,,provisional
person:charn-pennewaert,"Charn Pennewaert",,,provisional
person:chassang,Chassang,,,provisional
person:chester-griffin,"Chester Griffin",,,provisional
person:chester-s-griffin,"Chester S. Griffin",,,provisional
person:chida,Chida,,,provisional
person:chris-j-mills,"Chris J. Mills",,,provisional
person:chris-mooney-aikido,"Chris Mooney (aikido)",,,provisional
person:chris-verhaeren,"Chris Verhaeren",,,provisional
person:christina-dumlao,"Christina Dumlao",,,provisional
person:christine-wong,"Christine Wong",,,provisional
person:christopher-crandall,"Christopher Crandall",,,provisional
person:christopher-kerin,"Christopher Kerin",,,provisional
person:christopher-l-clark,"Christopher L. Clark",,,provisional
person:christopher-walla,"Christopher Walla",,,provisional
person:chuck-renner,"Chuck  Renner",,,provisional
person:claire-keller,"Claire Keller",,,provisional
person:clarence-chinn,"Clarence Chinn",,,provisional
person:claude-berthiaume,"Claude Berthiaume",,,provisional
person:clemon-richardson,"Clemon Richardson",,,provisional
person:cliff-marcus,"Cliff Marcus",,,provisional
person:colleen-bothwell,"Colleen Bothwell",,,provisional
person:colleen-hogan,"Colleen Hogan",,,provisional
person:colleen-m-hogan,"Colleen M Hogan",,,provisional
person:collins-smith,"Collins Smith",,,provisional
person:cong-nguyen,"Cong Nguyen",,,provisional
person:constance-temper,"Constance Temper",,,provisional
person:craig-johnson,"Craig Johnson",,,provisional
person:crystal-n-aldrich,"Crystal N. Aldrich",,,provisional
person:curtis-lamar-sanders-jr,"Curtis Lamar Sanders Jr.",,,provisional
person:cyril-landise,"Cyril Landise",,,provisional
person:derek-leblanc,"DEREK LEBLANC",,,provisional
person:dale-nordenberg,"Dale Nordenberg",,,provisional
person:dale-roznowski,"Dale Roznowski",,,provisional
person:damir-a-jamsek,"Damir A. Jamsek",,,provisional
person:damon-apodaca,"Damon Apodaca",,,provisional
person:damon-g-apodaca,"Damon G. Apodaca",,,provisional
