id,student,teacher,kind,confidence,period,notes
edge:akira-tohei+koichi-tohei,"Akira Tohei","Koichi Tohei",uchi-deshi,inferred,1955-1955,"inferred from co-presence at dojo:aikikai-hombu-dojo (1955-1955)"
edge:akira-tohei+morihei-ueshiba,"Akira Tohei","Morihei Ueshiba",uchi-deshi,inferred,1946-1955,"inferred from co-presence at dojo:aikikai-hombu-dojo (1946-1955)"
edge:ando+gozo-shioda,Ando,"Gozo Shioda",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:chassang+nobuyoshi-tamura,Chassang,"Nobuyoshi Tamura",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:chida+gozo-shioda,Chida,"Gozo Shioda",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:chris-mooney-aikido+kazuo-chiba,"Chris Mooney (aikido)","Kazuo Chiba",direct-student,stated,,"Wikipedia infobox: notable students of Kazuo Chiba"
edge:gozo-shioda+morihei-ueshiba,"Gozo Shioda","Morihei Ueshiba",direct-student,stated,,"Wikipedia infobox: teacher of Gozo Shioda"
edge:hiroshi-ikeda+mitsugi-saotome,"Hiroshi Ikeda","Mitsugi Saotome",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:ishiyama+bansen-tanaka,Ishiyama,"Bansen Tanaka",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:jacques-payet+gozo-shioda,"Jacques Payet","Gozo Shioda",direct-student,stated,,"Wikipedia infobox: notable students of Gozo Shioda"
edge:k-inoue+gozo-shioda,"K. Inoue","Gozo Shioda",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:kawahara+bansen-tanaka,Kawahara,"Bansen Tanaka",direct-student,stated,,"Wikipedia infobox (Notable students), via lineage_seed_sources.md"
edge:kazuo-chiba+kisshomaru-ueshiba,"Kazuo Chiba","Kisshomaru Ueshiba",direct-student,stated,,"Wikipedia infobox: teacher of Kazuo Chiba"
edge:kazuo-chiba+koichi-tohei,"Kazuo Chiba","Koichi Tohei",uchi-deshi,inferred,1958-1966,"inferred from co-presence at dojo:aikikai-hombu-dojo (1958-1966)"
edge:kazuo-chiba+morihei-ueshiba,"Kazuo Chiba","Morihei Ueshiba",uchi-deshi,stated,1958-1966,"inferred from co-presence at dojo:aikikai-hombu-dojo (1958-1966)"
edge:kenji-tomiki+jigoro-kano,"Kenji Tomiki","Jigoro Kano",direct-student,stated,,"Wikipedia infobox: teacher of Kenji Tomiki"
